intersection_id,timestamp,direction,vehicle_count,city
INT_001,2026-03-07 10:00:00,S,23,Metroville
INT_001,2026-03-07 10:00:00,E,19,Metroville
INT_001,2026-03-07 10:00:00,W,17,Metroville
INT_001,2026-03-07 11:00:00,N,18,Metroville
INT_001,2026-03-07 11:00:00,S,22,Metroville
INT_001,2026-03-07 11:00:00,E,27,Metroville
INT_001,2026-03-07 11:00:00,W,18,Metroville
INT_001,2026-03-07 12:00:00,N,25,Metroville
INT_001,2026-03-07 12:00:00,S,18,Metroville
INT_001,2026-03-07 12:00:00,E,26,Metroville
INT_001,2026-03-07 12:00:00,W,16,Metroville
INT_001,2026-03-07 13:00:00,N,26,Metroville
INT_001,2026-03-07 13:00:00,S,23,Metroville
INT_001,2026-03-07 13:00:00,E,18,Metroville
INT_001,2026-03-07 13:00:00,W,22,Metroville
INT_001,2026-03-07 14:00:00,N,23,Metroville
INT_001,2026-03-07 14:00:00,S,24,Metroville
INT_001,2026-03-07 14:00:00,E,26,Metroville
INT_001,2026-03-07 14:00:00,W,19,Metroville
INT_001,2026-03-07 15:00:00,N,26,Metroville
INT_001,2026-03-07 15:00:00,S,14,Metroville
INT_001,2026-03-07 15:00:00,E,28,Metroville
INT_001,2026-03-07 15:00:00,W,19,Metroville
INT_001,2026-03-07 16:00:00,N,42,Metroville
INT_001,2026-03-07 16:00:00,S,39,Metroville
INT_001,2026-03-07 16:00:00,E,44,Metroville
INT_001,2026-03-07 16:00:00,W,42,Metroville
INT_001,2026-03-07 17:00:00,N,44,Metroville
INT_001,2026-03-07 17:00:00,S,43,Metroville
INT_001,2026-03-07 17:00:00,E,41,Metroville
INT_001,2026-03-07 17:00:00,W,43,Metroville
INT_001,2026-03-07 18:00:00,N,45,Metroville
INT_001,2026-03-07 18:00:00,S,40,Metroville
INT_001,2026-03-07 18:00:00,E,39,Metroville
INT_001,2026-03-07 18:00:00,W,39,Metroville
INT_001,2026-03-07 19:00:00,N,46,Metroville
INT_001,2026-03-07 19:00:00,S,32,Metroville
INT_001,2026-03-07 19:00:00,E,43,Metroville
INT_001,2026-03-07 19:00:00,W,34,Metroville
INT_001,2026-03-07 20:00:00,N,13,Metroville
INT_001,2026-03-07 20:00:00,S,17,Metroville
INT_001,2026-03-07 20:00:00,E,16,Metroville
INT_001,2026-03-07 20:00:00,W,12,Metroville
INT_001,2026-03-07 21:00:00,N,23,Metroville
INT_001,2026-03-07 21:00:00,S,11,Metroville
INT_001,2026-03-07 21:00:00,E,17,Metroville
INT_001,2026-03-07 21:00:00,W,16,Metroville
INT_001,2026-03-07 22:00:00,N,25,Metroville
INT_001,2026-03-07 22:00:00,S,23,Metroville
INT_001,2026-03-07 22:00:00,E,16,Metroville
INT_001,2026-03-07 22:00:00,W,16,Metroville
INT_001,2026-03-07 23:00:00,N,23,Metroville
INT_001,2026-03-07 23:00:00,S,15,Metroville
INT_001,2026-03-07 23:00:00,E,16,Metroville
INT_001,2026-03-07 23:00:00,W,12,Metroville
INT_002,2026-03-07 00:00:00,N,6,Metroville
INT_002,2026-03-07 00:00:00,S,13,Metroville
INT_002,2026-03-07 00:00:00,E,12,Metroville
INT_002,2026-03-07 00:00:00,W,2,Metroville
INT_002,2026-03-07 01:00:00,N,8,Metroville
INT_002,2026-03-07 01:00:00,S,8,Metroville
INT_002,2026-03-07 01:00:00,E,5,Metroville
INT_002,2026-03-07 01:00:00,W,11,Metroville
INT_002,2026-03-07 02:00:00,N,13,Metroville
INT_002,2026-03-07 02:00:00,S,12,Metroville
INT_002,2026-03-07 02:00:00,E,12,Metroville
INT_002,2026-03-07 02:00:00,W,5,Metroville
INT_002,2026-03-07 03:00:00,N,14,Metroville
INT_002,2026-03-07 03:00:00,S,11,Metroville
INT_002,2026-03-07 03:00:00,E,12,Metroville
INT_002,2026-03-07 03:00:00,W,8,Metroville
INT_002,2026-03-07 04:00:00,N,6,Metroville
INT_002,2026-03-07 04:00:00,S,9,Metroville
INT_002,2026-03-07 04:00:00,E,16,Metroville
INT_002,2026-03-07 04:00:00,W,14,Metroville
INT_002,2026-03-07 05:00:00,N,15,Metroville
INT_002,2026-03-07 05:00:00,S,12,Metroville
INT_002,2026-03-07 05:00:00,E,8,Metroville
INT_002,2026-03-07 05:00:00,W,13,Metroville
INT_002,2026-03-07 06:00:00,N,35,Metroville
INT_002,2026-03-07 06:00:00,S,23,Metroville
INT_002,2026-03-07 06:00:00,E,32,Metroville
INT_002,2026-03-07 06:00:00,W,30,Metroville
INT_002,2026-03-07 07:00:00,N,31,Metroville
INT_002,2026-03-07 07:00:00,S,35,Metroville
INT_002,2026-03-07 07:00:00,E,36,Metroville
INT_002,2026-03-07 07:00:00,W,29,Metroville
INT_002,2026-03-07 08:00:00,N,33,Metroville
INT_002,2026-03-07 08:00:00,S,23,Metroville
INT_002,2026-03-07 08:00:00,E,26,Metroville
INT_002,2026-03-07 08:00:00,W,35,Metroville
INT_002,2026-03-07 09:00:00,N,29,Metroville
INT_002,2026-03-07 09:00:00,S,26,Metroville
INT_002,2026-03-07 09:00:00,E,35,Metroville
INT_002,2026-03-07 09:00:00,W,36,Metroville
INT_002,2026-03-07 10:00:00,N,19,Metroville
INT_002,2026-03-07 10:00:00,S,13,Metroville
INT_002,2026-03-07 10:00:00,E,23,Metroville
INT_002,2026-03-07 10:00:00,W,22,Metroville
INT_002,2026-03-07 11:00:00,N,23,Metroville
INT_002,2026-03-07 11:00:00,S,20,Metroville
INT_002,2026-03-07 11:00:00,E,18,Metroville
INT_002,2026-03-07 11:00:00,W,23,Metroville
INT_002,2026-03-07 12:00:00,N,21,Metroville
INT_002,2026-03-07 12:00:00,S,18,Metroville
INT_002,2026-03-07 12:00:00,E,24,Metroville
INT_002,2026-03-07 12:00:00,W,20,Metroville
INT_002,2026-03-07 13:00:00,N,15,Metroville
INT_002,2026-03-07 13:00:00,S,22,Metroville
INT_002,2026-03-07 13:00:00,E,24,Metroville
INT_002,2026-03-07 13:00:00,W,14,Metroville
INT_002,2026-03-07 14:00:00,N,16,Metroville
INT_002,2026-03-07 14:00:00,S,17,Metroville
INT_002,2026-03-07 14:00:00,E,15,Metroville
INT_002,2026-03-07 14:00:00,W,21,Metroville
INT_002,2026-03-07 15:00:00,N,13,Metroville
INT_002,2026-03-07 15:00:00,S,12,Metroville
INT_002,2026-03-07 15:00:00,E,15,Metroville
INT_002,2026-03-07 15:00:00,W,22,Metroville
INT_002,2026-03-07 16:00:00,N,39,Metroville
INT_002,2026-03-07 16:00:00,S,30,Metroville
INT_002,2026-03-07 16:00:00,E,38,Metroville
INT_002,2026-03-07 16:00:00,W,30,Metroville
INT_002,2026-03-07 17:00:00,N,37,Metroville
INT_002,2026-03-07 17:00:00,S,33,Metroville
INT_002,2026-03-07 17:00:00,E,40,Metroville
INT_002,2026-03-07 17:00:00,W,34,Metroville
INT_002,2026-03-07 18:00:00,N,33,Metroville
INT_002,2026-03-07 18:00:00,S,31,Metroville
INT_002,2026-03-07 18:00:00,E,41,Metroville
INT_002,2026-03-07 18:00:00,W,34,Metroville
INT_002,2026-03-07 19:00:00,N,31,Metroville
INT_002,2026-03-07 19:00:00,S,34,Metroville
INT_002,2026-03-07 19:00:00,E,39,Metroville
INT_002,2026-03-07 19:00:00,W,41,Metroville
INT_002,2026-03-07 20:00:00,N,12,Metroville
INT_002,2026-03-07 20:00:00,S,8,Metroville
INT_002,2026-03-07 20:00:00,E,13,Metroville
INT_002,2026-03-07 20:00:00,W,14,Metroville
INT_002,2026-03-07 21:00:00,N,19,Metroville
INT_002,2026-03-07 21:00:00,S,8,Metroville
INT_002,2026-03-07 21:00:00,E,23,Metroville
INT_002,2026-03-07 21:00:00,W,19,Metroville
INT_002,2026-03-07 22:00:00,N,19,Metroville
INT_002,2026-03-07 22:00:00,S,18,Metroville
INT_002,2026-03-07 22:00:00,E,15,Metroville
INT_002,2026-03-07 22:00:00,W,16,Metroville
INT_002,2026-03-07 23:00:00,N,22,Metroville
INT_002,2026-03-07 23:00:00,S,17,Metroville
INT_002,2026-03-07 23:00:00,E,19,Metroville
INT_002,2026-03-07 23:00:00,W,14,Metroville
INT_003,2026-03-07 00:00:00,N,12,Metroville
INT_003,2026-03-07 00:00:00,S,9,Metroville
INT_003,2026-03-07 00:00:00,E,6,Metroville
INT_003,2026-03-07 00:00:00,W,7,Metroville
INT_003,2026-03-07 01:00:00,N,3,Metroville
INT_003,2026-03-07 01:00:00,S,0,Metroville
INT_003,2026-03-07 01:00:00,E,9,Metroville
INT_003,2026-03-07 01:00:00,W,0,Metroville
INT_003,2026-03-07 02:00:00,N,12,Metroville
INT_003,2026-03-07 02:00:00,S,6,Metroville
INT_003,2026-03-07 02:00:00,E,3,Metroville
INT_003,2026-03-07 02:00:00,W,5,Metroville
INT_003,2026-03-07 03:00:00,N,8,Metroville
INT_003,2026-03-07 03:00:00,S,6,Metroville
INT_003,2026-03-07 03:00:00,E,7,Metroville
INT_003,2026-03-07 03:00:00,W,0,Metroville
INT_003,2026-03-07 04:00:00,N,5,Metroville
INT_003,2026-03-07 04:00:00,S,1,Metroville
INT_003,2026-03-07 04:00:00,E,4,Metroville
INT_003,2026-03-07 04:00:00,W,9,Metroville
INT_003,2026-03-07 05:00:00,N,5,Metroville
INT_003,2026-03-07 05:00:00,S,3,Metroville
INT_003,2026-03-07 05:00:00,E,6,Metroville
INT_003,2026-03-07 05:00:00,W,3,Metroville
INT_003,2026-03-07 06:00:00,N,25,Metroville
INT_003,2026-03-07 06:00:00,S,32,Metroville
INT_003,2026-03-07 06:00:00,E,32,Metroville
INT_003,2026-03-07 06:00:00,W,29,Metroville
INT_003,2026-03-07 07:00:00,N,29,Metroville
INT_003,2026-03-07 07:00:00,S,28,Metroville
INT_003,2026-03-07 07:00:00,E,35,Metroville
INT_003,2026-03-07 07:00:00,W,31,Metroville
INT_003,2026-03-07 08:00:00,N,22,Metroville
INT_003,2026-03-07 08:00:00,S,21,Metroville
INT_003,2026-03-07 08:00:00,E,33,Metroville
INT_003,2026-03-07 08:00:00,W,26,Metroville
INT_003,2026-03-07 09:00:00,N,29,Metroville
INT_003,2026-03-07 09:00:00,S,23,Metroville
INT_003,2026-03-07 09:00:00,E,33,Metroville
INT_003,2026-03-07 09:00:00,W,30,Metroville
INT_003,2026-03-07 10:00:00,N,18,Metroville
INT_003,2026-03-07 10:00:00,S,10,Metroville
INT_003,2026-03-07 10:00:00,E,10,Metroville
INT_003,2026-03-07 10:00:00,W,18,Metroville
INT_003,2026-03-07 11:00:00,N,14,Metroville
INT_003,2026-03-07 11:00:00,S,13,Metroville
INT_003,2026-03-07 11:00:00,E,22,Metroville
INT_003,2026-03-07 11:00:00,W,9,Metroville
INT_003,2026-03-07 12:00:00,N,15,Metroville
INT_003,2026-03-07 12:00:00,S,11,Metroville
INT_003,2026-03-07 12:00:00,E,18,Metroville
INT_003,2026-03-07 12:00:00,W,19,Metroville
INT_003,2026-03-07 13:00:00,N,13,Metroville
INT_003,2026-03-07 13:00:00,S,7,Metroville
INT_003,2026-03-07 13:00:00,E,18,Metroville
INT_003,2026-03-07 13:00:00,W,20,Metroville
INT_003,2026-03-07 14:00:00,N,14,Metroville
INT_003,2026-03-07 14:00:00,S,15,Metroville
INT_003,2026-03-07 14:00:00,E,22,Metroville
INT_003,2026-03-07 14:00:00,W,16,Metroville
INT_003,2026-03-07 15:00:00,N,16,Metroville
INT_003,2026-03-07 15:00:00,S,14,Metroville
INT_003,2026-03-07 15:00:00,E,10,Metroville
INT_003,2026-03-07 15:00:00,W,12,Metroville
INT_003,2026-03-07 16:00:00,N,38,Metroville
INT_003,2026-03-07 16:00:00,S,29,Metroville
INT_003,2026-03-07 16:00:00,E,34,Metroville
INT_003,2026-03-07 16:00:00,W,35,Metroville
INT_003,2026-03-07 17:00:00,N,29,Metroville
INT_003,2026-03-07 17:00:00,S,27,Metroville
INT_003,2026-03-07 17:00:00,E,31,Metroville
INT_003,2026-03-07 17:00:00,W,39,Metroville
INT_003,2026-03-07 18:00:00,N,36,Metroville
INT_003,2026-03-07 18:00:00,S,34,Metroville
INT_003,2026-03-07 18:00:00,E,29,Metroville
INT_003,2026-03-07 18:00:00,W,37,Metroville
INT_003,2026-03-07 19:00:00,N,29,Metroville
INT_003,2026-03-07 19:00:00,S,29,Metroville
INT_003,2026-03-07 19:00:00,E,39,Metroville
INT_003,2026-03-07 19:00:00,W,37,Metroville
INT_003,2026-03-07 20:00:00,N,19,Metroville
INT_003,2026-03-07 20:00:00,S,8,Metroville
INT_003,2026-03-07 20:00:00,E,18,Metroville
INT_003,2026-03-07 20:00:00,W,12,Metroville
INT_003,2026-03-07 21:00:00,N,8,Metroville
INT_003,2026-03-07 21:00:00,S,8,Metroville
INT_003,2026-03-07 21:00:00,E,16,Metroville
INT_003,2026-03-07 21:00:00,W,17,Metroville
INT_003,2026-03-07 22:00:00,N,18,Metroville
INT_003,2026-03-07 22:00:00,S,17,Metroville
INT_003,2026-03-07 22:00:00,E,14,Metroville
INT_003,2026-03-07 22:00:00,W,16,Metroville
INT_003,2026-03-07 23:00:00,N,8,Metroville
INT_003,2026-03-07 23:00:00,S,16,Metroville
INT_003,2026-03-07 23:00:00,E,18,Metroville
INT_003,2026-03-07 23:00:00,W,8,Metroville
INT_004,2026-03-07 00:00:00,N,6,Metroville
INT_004,2026-03-07 00:00:00,S,8,Metroville
INT_004,2026-03-07 00:00:00,E,5,Metroville
INT_004,2026-03-07 00:00:00,W,0,Metroville
INT_004,2026-03-07 01:00:00,N,0,Metroville
INT_004,2026-03-07 01:00:00,S,0,Metroville
INT_004,2026-03-07 01:00:00,E,0,Metroville
INT_004,2026-03-07 01:00:00,W,0,Metroville
INT_004,2026-03-07 02:00:00,N,11,Metroville
INT_004,2026-03-07 02:00:00,S,1,Metroville
INT_004,2026-03-07 02:00:00,E,8,Metroville
INT_004,2026-03-07 02:00:00,W,0,Metroville
INT_004,2026-03-07 03:00:00,N,8,Metroville
INT_004,2026-03-07 03:00:00,S,0,Metroville
INT_004,2026-03-07 03:00:00,E,4,Metroville
INT_004,2026-03-07 03:00:00,W,4,Metroville
INT_004,2026-03-07 04:00:00,N,5,Metroville
INT_004,2026-03-07 04:00:00,S,4,Metroville
INT_004,2026-03-07 04:00:00,E,10,Metroville
INT_004,2026-03-07 04:00:00,W,4,Metroville
INT_004,2026-03-07 05:00:00,N,5,Metroville
INT_004,2026-03-07 05:00:00,S,2,Metroville
INT_004,2026-03-07 05:00:00,E,0,Metroville
INT_004,2026-03-07 05:00:00,W,4,Metroville
INT_004,2026-03-07 06:00:00,N,31,Metroville
INT_004,2026-03-07 06:00:00,S,20,Metroville
INT_004,2026-03-07 06:00:00,E,30,Metroville
INT_004,2026-03-07 06:00:00,W,20,Metroville
INT_004,2026-03-07 07:00:00,N,31,Metroville
INT_004,2026-03-07 07:00:00,S,30,Metroville
INT_004,2026-03-07 07:00:00,E,31,Metroville
INT_004,2026-03-07 07:00:00,W,21,Metroville
INT_004,2026-03-07 08:00:00,N,33,Metroville
INT_004,2026-03-07 08:00:00,S,30,Metroville
INT_004,2026-03-07 08:00:00,E,31,Metroville
INT_004,2026-03-07 08:00:00,W,20,Metroville
INT_004,2026-03-07 09:00:00,N,32,Metroville
INT_004,2026-03-07 09:00:00,S,20,Metroville
INT_004,2026-03-07 09:00:00,E,27,Metroville
INT_004,2026-03-07 09:00:00,W,28,Metroville
INT_004,2026-03-07 10:00:00,N,9,Metroville
INT_004,2026-03-07 10:00:00,S,10,Metroville
INT_004,2026-03-07 10:00:00,E,21,Metroville
INT_004,2026-03-07 10:00:00,W,17,Metroville
INT_004,2026-03-07 11:00:00,N,12,Metroville
INT_004,2026-03-07 11:00:00,S,15,Metroville
INT_004,2026-03-07 11:00:00,E,10,Metroville
INT_004,2026-03-07 11:00:00,W,11,Metroville
INT_004,2026-03-07 12:00:00,N,20,Metroville
INT_004,2026-03-07 12:00:00,S,13,Metroville
INT_004,2026-03-07 12:00:00,E,15,Metroville
INT_004,2026-03-07 12:00:00,W,13,Metroville
INT_004,2026-03-07 13:00:00,N,18,Metroville
INT_004,2026-03-07 13:00:00,S,6,Metroville
INT_004,2026-03-07 13:00:00,E,16,Metroville
INT_004,2026-03-07 13:00:00,W,9,Metroville
INT_004,2026-03-07 14:00:00,N,16,Metroville
INT_004,2026-03-07 14:00:00,S,9,Metroville
INT_004,2026-03-07 14:00:00,E,11,Metroville
INT_004,2026-03-07 14:00:00,W,18,Metroville
INT_004,2026-03-07 15:00:00,N,14,Metroville
INT_004,2026-03-07 15:00:00,S,18,Metroville
INT_004,2026-03-07 15:00:00,E,21,Metroville
INT_004,2026-03-07 15:00:00,W,15,Metroville
INT_004,2026-03-07 16:00:00,N,31,Metroville
INT_004,2026-03-07 16:00:00,S,35,Metroville
INT_004,2026-03-07 16:00:00,E,30,Metroville
INT_004,2026-03-07 16:00:00,W,30,Metroville
INT_004,2026-03-07 17:00:00,N,37,Metroville
INT_004,2026-03-07 17:00:00,S,37,Metroville
INT_004,2026-03-07 17:00:00,E,39,Metroville
INT_004,2026-03-07 17:00:00,W,36,Metroville
INT_004,2026-03-07 18:00:00,N,32,Metroville
INT_004,2026-03-07 18:00:00,S,25,Metroville
INT_004,2026-03-07 18:00:00,E,36,Metroville
INT_004,2026-03-07 18:00:00,W,34,Metroville
INT_004,2026-03-07 19:00:00,N,29,Metroville
INT_004,2026-03-07 19:00:00,S,26,Metroville
INT_004,2026-03-07 19:00:00,E,28,Metroville
INT_004,2026-03-07 19:00:00,W,26,Metroville
INT_004,2026-03-07 20:00:00,N,15,Metroville
INT_004,2026-03-07 20:00:00,S,13,Metroville
INT_004,2026-03-07 20:00:00,E,13,Metroville
INT_004,2026-03-07 20:00:00,W,13,Metroville
INT_004,2026-03-07 21:00:00,N,14,Metroville
INT_004,2026-03-07 21:00:00,S,5,Metroville
INT_004,2026-03-07 21:00:00,E,11,Metroville
INT_004,2026-03-07 21:00:00,W,8,Metroville
INT_004,2026-03-07 22:00:00,N,17,Metroville
INT_004,2026-03-07 22:00:00,S,15,Metroville
INT_004,2026-03-07 22:00:00,E,18,Metroville
INT_004,2026-03-07 22:00:00,W,10,Metroville
INT_004,2026-03-07 23:00:00,N,9,Metroville
INT_004,2026-03-07 23:00:00,S,10,Metroville
INT_004,2026-03-07 23:00:00,E,17,Metroville
INT_004,2026-03-07 23:00:00,W,13,Metroville
INT_005,2026-03-07 00:00:00,N,3,Metroville
INT_005,2026-03-07 00:00:00,S,1,Metroville
INT_005,2026-03-07 00:00:00,E,5,Metroville
INT_005,2026-03-07 00:00:00,W,9,Metroville
INT_005,2026-03-07 01:00:00,N,5,Metroville
INT_005,2026-03-07 01:00:00,S,2,Metroville
INT_005,2026-03-07 01:00:00,E,3,Metroville
INT_005,2026-03-07 01:00:00,W,2,Metroville
INT_005,2026-03-07 02:00:00,N,11,Metroville
INT_005,2026-03-07 02:00:00,S,11,Metroville
INT_005,2026-03-07 02:00:00,E,11,Metroville
INT_005,2026-03-07 02:00:00,W,0,Metroville
INT_005,2026-03-07 03:00:00,N,13,Metroville
INT_005,2026-03-07 03:00:00,S,7,Metroville
INT_005,2026-03-07 03:00:00,E,9,Metroville
INT_005,2026-03-07 03:00:00,W,10,Metroville
INT_005,2026-03-07 04:00:00,N,9,Metroville
INT_005,2026-03-07 04:00:00,S,0,Metroville
INT_005,2026-03-07 04:00:00,E,6,Metroville
INT_005,2026-03-07 04:00:00,W,10,Metroville
INT_005,2026-03-07 05:00:00,N,2,Metroville
INT_005,2026-03-07 05:00:00,S,3,Metroville
INT_005,2026-03-07 05:00:00,E,3,Metroville
INT_005,2026-03-07 05:00:00,W,3,Metroville
INT_005,2026-03-07 06:00:00,N,34,Metroville
INT_005,2026-03-07 06:00:00,S,30,Metroville
INT_005,2026-03-07 06:00:00,E,31,Metroville
INT_005,2026-03-07 06:00:00,W,27,Metroville
INT_005,2026-03-07 07:00:00,N,28,Metroville
INT_005,2026-03-07 07:00:00,S,23,Metroville
INT_005,2026-03-07 07:00:00,E,34,Metroville
INT_005,2026-03-07 07:00:00,W,32,Metroville
INT_005,2026-03-07 08:00:00,N,26,Metroville
INT_005,2026-03-07 08:00:00,S,22,Metroville
INT_005,2026-03-07 08:00:00,E,28,Metroville
INT_005,2026-03-07 08:00:00,W,31,Metroville
INT_005,2026-03-07 09:00:00,N,24,Metroville
INT_005,2026-03-07 09:00:00,S,24,Metroville
INT_005,2026-03-07 09:00:00,E,29,Metroville
INT_005,2026-03-07 09:00:00,W,29,Metroville
INT_005,2026-03-07 10:00:00,N,17,Metroville
INT_005,2026-03-07 10:00:00,S,13,Metroville
INT_005,2026-03-07 10:00:00,E,20,Metroville
INT_005,2026-03-07 10:00:00,W,19,Metroville
INT_005,2026-03-07 11:00:00,N,14,Metroville
INT_005,2026-03-07 11:00:00,S,19,Metroville
INT_005,2026-03-07 11:00:00,E,20,Metroville
INT_005,2026-03-07 11:00:00,W,11,Metroville
INT_005,2026-03-07 12:00:00,N,19,Metroville
INT_005,2026-03-07 12:00:00,S,17,Metroville
INT_005,2026-03-07 12:00:00,E,16,Metroville
INT_005,2026-03-07 12:00:00,W,21,Metroville
INT_005,2026-03-07 13:00:00,N,15,Metroville
INT_005,2026-03-07 13:00:00,S,14,Metroville
INT_005,2026-03-07 13:00:00,E,13,Metroville
INT_005,2026-03-07 13:00:00,W,9,Metroville
INT_005,2026-03-07 14:00:00,N,15,Metroville
INT_005,2026-03-07 14:00:00,S,11,Metroville
INT_005,2026-03-07 14:00:00,E,23,Metroville
INT_005,2026-03-07 14:00:00,W,12,Metroville
INT_005,2026-03-07 15:00:00,N,21,Metroville
INT_005,2026-03-07 15:00:00,S,19,Metroville
INT_005,2026-03-07 15:00:00,E,21,Metroville
INT_005,2026-03-07 15:00:00,W,15,Metroville
INT_005,2026-03-07 16:00:00,N,33,Metroville
INT_005,2026-03-07 16:00:00,S,32,Metroville
INT_005,2026-03-07 16:00:00,E,32,Metroville
INT_005,2026-03-07 16:00:00,W,38,Metroville
INT_005,2026-03-07 17:00:00,N,40,Metroville
INT_005,2026-03-07 17:00:00,S,32,Metroville
INT_005,2026-03-07 17:00:00,E,37,Metroville
INT_005,2026-03-07 17:00:00,W,35,Metroville
INT_005,2026-03-07 18:00:00,N,36,Metroville
INT_005,2026-03-07 18:00:00,S,32,Metroville
INT_005,2026-03-07 18:00:00,E,42,Metroville
INT_005,2026-03-07 18:00:00,W,32,Metroville
INT_005,2026-03-07 19:00:00,N,36,Metroville
INT_005,2026-03-07 19:00:00,S,35,Metroville
INT_005,2026-03-07 19:00:00,E,31,Metroville
INT_005,2026-03-07 19:00:00,W,30,Metroville
INT_005,2026-03-07 20:00:00,N,18,Metroville
INT_005,2026-03-07 20:00:00,S,15,Metroville
INT_005,2026-03-07 20:00:00,E,10,Metroville
INT_005,2026-03-07 20:00:00,W,11,Metroville
INT_005,2026-03-07 21:00:00,N,10,Metroville
INT_005,2026-03-07 21:00:00,S,14,Metroville
INT_005,2026-03-07 21:00:00,E,12,Metroville
INT_005,2026-03-07 21:00:00,W,11,Metroville
INT_005,2026-03-07 22:00:00,N,19,Metroville
INT_005,2026-03-07 22:00:00,S,16,Metroville
INT_005,2026-03-07 22:00:00,E,10,Metroville
INT_005,2026-03-07 22:00:00,W,18,Metroville
INT_005,2026-03-07 23:00:00,N,9,Metroville
INT_005,2026-03-07 23:00:00,S,6,Metroville
INT_005,2026-03-07 23:00:00,E,17,Metroville
INT_005,2026-03-07 23:00:00,W,17,Metroville
INT_006,2026-03-07 00:00:00,N,8,Metroville
INT_006,2026-03-07 00:00:00,S,6,Metroville
INT_006,2026-03-07 00:00:00,E,6,Metroville
INT_006,2026-03-07 00:00:00,W,10,Metroville
INT_006,2026-03-07 01:00:00,N,8,Metroville
INT_006,2026-03-07 01:00:00,S,0,Metroville
INT_006,2026-03-07 01:00:00,E,0,Metroville
INT_006,2026-03-07 01:00:00,W,6,Metroville
INT_006,2026-03-07 02:00:00,N,3,Metroville
INT_006,2026-03-07 02:00:00,S,5,Metroville
INT_006,2026-03-07 02:00:00,E,8,Metroville
INT_006,2026-03-07 02:00:00,W,5,Metroville
INT_006,2026-03-07 03:00:00,N,9,Metroville
INT_006,2026-03-07 03:00:00,S,9,Metroville
INT_006,2026-03-07 03:00:00,E,2,Metroville
INT_006,2026-03-07 03:00:00,W,3,Metroville
INT_006,2026-03-07 04:00:00,N,5,Metroville
INT_006,2026-03-07 04:00:00,S,0,Metroville
INT_006,2026-03-07 04:00:00,E,12,Metroville
INT_006,2026-03-07 04:00:00,W,7,Metroville
INT_006,2026-03-07 05:00:00,N,10,Metroville
INT_006,2026-03-07 05:00:00,S,1,Metroville
INT_006,2026-03-07 05:00:00,E,2,Metroville
INT_006,2026-03-07 05:00:00,W,5,Metroville
INT_006,2026-03-07 06:00:00,N,29,Metroville
INT_006,2026-03-07 06:00:00,S,27,Metroville
INT_006,2026-03-07 06:00:00,E,23,Metroville
INT_006,2026-03-07 06:00:00,W,26,Metroville
INT_006,2026-03-07 07:00:00,N,26,Metroville
INT_006,2026-03-07 07:00:00,S,27,Metroville
INT_006,2026-03-07 07:00:00,E,22,Metroville
INT_006,2026-03-07 07:00:00,W,30,Metroville
INT_006,2026-03-07 08:00:00,N,24,Metroville
INT_006,2026-03-07 08:00:00,S,31,Metroville
INT_006,2026-03-07 08:00:00,E,31,Metroville
INT_006,2026-03-07 08:00:00,W,30,Metroville
